2026-02-22T01:20:58: [Grudge Voxel Server] Starting on port 3000...
2026-02-22T01:20:58: [Grudge Voxel Server] World seed: 42069
2026-02-22T01:20:58: [Grudge Voxel Server] Tick rate: 20 tps
2026-02-22T01:20:58: [Grudge Voxel Server] Ready! Listening on ws://localhost:3000
2026-02-22T01:21:11: [Server] Tick 200 | Players: 0 | Chunks: 0
2026-02-22T01:21:23: [Server] Tick 400 | Players: 0 | Chunks: 0
2026-02-22T01:21:35: [Server] Tick 600 | Players: 0 | Chunks: 0
2026-02-22T01:21:48: [Server] Tick 800 | Players: 0 | Chunks: 0
2026-02-22T01:22:00: [Server] Tick 1000 | Players: 0 | Chunks: 0
2026-02-22T01:22:12: [Server] Tick 1200 | Players: 0 | Chunks: 0
2026-02-22T01:22:25: [Server] Tick 1400 | Players: 0 | Chunks: 0
2026-02-22T01:22:37: [Server] Tick 1600 | Players: 0 | Chunks: 0
2026-02-22T01:22:50: [Server] Tick 1800 | Players: 0 | Chunks: 0
2026-02-22T01:23:02: [Server] Tick 2000 | Players: 0 | Chunks: 0
2026-02-22T01:23:14: [Server] Tick 2200 | Players: 0 | Chunks: 0
2026-02-22T01:23:27: [Server] Tick 2400 | Players: 0 | Chunks: 0
2026-02-22T01:23:39: [Server] Tick 2600 | Players: 0 | Chunks: 0
2026-02-22T01:23:51: [Server] Tick 2800 | Players: 0 | Chunks: 0
2026-02-22T01:24:04: [Server] Tick 3000 | Players: 0 | Chunks: 0
2026-02-22T01:24:16: [Server] Tick 3200 | Players: 0 | Chunks: 0
2026-02-22T01:24:28: [Server] Tick 3400 | Players: 0 | Chunks: 0
2026-02-22T01:24:41: [Server] Tick 3600 | Players: 0 | Chunks: 0
2026-02-22T01:24:53: [Server] Tick 3800 | Players: 0 | Chunks: 0
2026-02-22T01:25:06: [Server] Tick 4000 | Players: 0 | Chunks: 0
2026-02-22T01:25:18: [Server] Tick 4200 | Players: 0 | Chunks: 0
2026-02-22T01:25:30: [Server] Tick 4400 | Players: 0 | Chunks: 0
